url num_files insertions deletions
https://github.com/secure-foundations/ironsync-osdi2023/commit/0e8f96948399a4e42503111413e50c164ba3768b 2 14 1
https://github.com/jorge-jbs/TFG/commit/9fbcf4c722d9edd84fd8adeffd9f8a07f457eb1a 1 57 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/1d7eabcd10d3c9424d7cb915a0bc819987c772c6 1 4 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/fb03995a650b49590b598fa60b812e387800e90e 1 6 6
https://github.com/dafny-lang/libraries/commit/4b8201a0766a1a147b6c282aa000e0d6a5b6d0e4 2 0 13
https://github.com/secure-foundations/ironsync-osdi2023/commit/fe078765c63eb7d97774141af638dc080959d746 1 10 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/8a01ddbd431802da1e2986670d9347ea1cd98144 2 2 23
https://github.com/secure-foundations/ironsync-osdi2023/commit/bd1a7a2337caf828a7dd8b2bf73281ec471de32d 1 5 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/73c71f72b6be31a194f2e3c3c73664ea528589f4 3 73 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/f055e7313c9f5cbfa7f24dfc610af3c3144b9613 1 11 2
https://github.com/secure-foundations/ironsync-osdi2023/commit/d3293f96c441169b4ac7b2c6b61d7ff6889bb95d 1 1 1
https://github.com/byd110/Dafny-experiences/commit/e5c125b18b58b4e0dc52e355e6adda1f891554d6 2 1 1
https://github.com/dafny-lang/libraries/commit/b7e1abf54d1ff1a645f68769ce2d798fed138fb0 4 276 87
https://github.com/jorge-jbs/TFG/commit/0126bd3f47c0521b53b451db6116ac2788650763 1 11 4
https://github.com/pemesteves/MFES_2021/commit/749878558d3623bd383ed261ffdbf30757002f7f 1 20 32
https://github.com/isobelm/formal-verification/commit/291961643bc0a1bf03015ffef8723a9212d1016f 1 22 24
https://github.com/secure-foundations/ironsync-osdi2023/commit/90b94f7d5b00c2e1c69b79d631e1514ccacf355f 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/d192cd11463a960105c365d1433452c71aa90240 1 8 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/08aa50f53657225f37605e2c0235930a37d51213 1 32 32
https://github.com/dafny-lang/libraries/commit/57980c9f227e2468286a541b60c35c612111a381 1 9 9
https://github.com/benreynwar/SiLemma/commit/24e2e58c60d54b82e1e901ebe917e9f0680afda6 1 2 2
https://github.com/isobelm/formal-verification/commit/8d0060b2ec8bbc7163773a346c1de00c344e88ce 1 1 1
https://github.com/cristirusu-99/Dafny-Practice/commit/3886a780c0e4b181936ec1f031f1aa270c40e9ed 2 88 86
https://github.com/secure-foundations/ironsync-osdi2023/commit/6d0dc57f2149b464fb3a4fb72102ec8768523084 1 146 127
https://github.com/volodeyka/veri-sparse/commit/e030e29e4b6a4f3e935a903785ee48f2bf0135b1 1 3 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/1ac2d4b9033c41cb7c517aadfbbbb8537d1ed79a 3 13 5
https://github.com/secure-foundations/ironsync-osdi2023/commit/7514a22b244d2638cf15c13309b2a637823d2a0e 3 18 12
https://github.com/dafny-lang/libraries/commit/8b0c39969534dfdfb3b9fb4db777bf0cd97066a1 11 37 37
https://github.com/jorge-jbs/TFG/commit/0b91e0612606681e962c1bcb284cbd55dda59f20 7 15 4
https://github.com/secure-foundations/ironsync-osdi2023/commit/02b4cc49cb405f9aa78eae4dcef18690c923e25b 1 11 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/908ad427acb92b8d135312cf5c9aa1d0efafa5fc 22 425 798
https://github.com/secure-foundations/ironsync-osdi2023/commit/555d5df55588a656a5f426590b03dd3c2ac00736 1 3 3
https://github.com/secure-foundations/ironsync-osdi2023/commit/b6269d146370e2267d2536a301d25f9d28be1b87 2 2 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/44f4ea604c14ccd5b55052975dc5b48600bb90f0 1 1 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/a867a8aaa5927047f807b16d9071ec55674ac518 1 3 8
https://github.com/secure-foundations/ironsync-osdi2023/commit/245c12d7c0ba301cbc3686022456b32b6eb8bb4a 2 4 1
https://github.com/secure-foundations/ironsync-osdi2023/commit/ad7ce3bf844dcef549719e9f66015e9b5a65f85e 1 24 70
https://github.com/secure-foundations/ironsync-osdi2023/commit/c3f6535f656f84c7b4d037528c668b4d1bb4028f 1 148 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/b7362fe94c6a5309a87dfaedfd57ed9c5eb3cdb5 1 17 60
https://github.com/dafny-lang/Dafny-VMC/commit/db270cf1a1532add2fec9097490b1d41abe5d29d 1 10 6
https://github.com/secure-foundations/ironsync-osdi2023/commit/dc15738309dc1513f729d024b41e5151443c066c 2 85 63
https://github.com/secure-foundations/ironsync-osdi2023/commit/0001715e44767490270859e669db2f50b9581026 1 2 10
https://github.com/secure-foundations/ironsync-osdi2023/commit/82a4e9600b92a4fe9824abb1ac2c079146dbd8cf 1 7 16
https://github.com/just-me-/dafny-language-server/commit/e77e59162ea5bb5179ebba0a72c13095f0196748 1 0 0
https://github.com/secure-foundations/ironsync-osdi2023/commit/0df498502928368411609808a8030265fdd174ab 1 37 17
https://github.com/secure-foundations/ironsync-osdi2023/commit/b5ab26ae1b396a3cb6b8675967258aa5ebe11e4c 1 6 6
https://github.com/secure-foundations/ironsync-osdi2023/commit/78d0f95f5e760d361e436754f4b9737165c19f2a 1 33 20
https://github.com/secure-foundations/ironsync-osdi2023/commit/ad3566ccf18993dfd95e0945e58602a7ff8b11a9 3 4 7
https://github.com/secure-foundations/ironsync-osdi2023/commit/dfd9f7c41ea423380725f1d742e6154e04312696 1 29 5
