commit_url,num_dfy_files,num_insertions,num_deletions
https://github.com/aws/aws-encryption-sdk/commit/f79b3b6fe12593dda00465b2864f2cb55cfa8b03,1,5,5
https://github.com/aws/aws-encryption-sdk/commit/f8468890fa8c81c8dbc27eab54fc6cdde2d7a748,4,126,140
https://github.com/aws/aws-encryption-sdk/commit/f85f7870c1b3f905f5291c8d657d8887cf7f6824,2,9,5
https://github.com/aws/aws-encryption-sdk/commit/f9da4ce55880f6894be89f5f0b80863b96346c08,5,129,74
https://github.com/aws/aws-encryption-sdk/commit/fbb33924f7ab95d4fcb7317fc6eb693e7e4c295e,1,11,5
https://github.com/aws/aws-encryption-sdk/commit/fe9db0c2c64b9ba411dd7648d8ea7c67b98a7793,1,0,1
https://github.com/aws/aws-encryption-sdk/commit/feef6e8af935826d6408f8e6dd5c916a54088366,1,19,18
https://github.com/aws/aws-encryption-sdk/commit/ff7f001d7a63a1bd0dad4686524610d3b9a79586,3,426,52
https://github.com/ayush268/Invoker/commit/303ad7af5f3aefca5352ec0095011d8f2eb2cf60,6,441,355
https://github.com/ayush268/Invoker/commit/5dece6d57f6313ad779b520964045239865fbd50,3,139,139
https://github.com/ayush268/Invoker/commit/abb8b1ab3746cd4c9b80f23dcf7a9352133641e3,2,96,3
https://github.com/ayush268/Invoker/commit/b1a1c1eab024d803cef15184b1eb4e311d73802e,8,57,36
https://github.com/ayush268/Invoker/commit/b9b37baeae4cab39128d4b7523c9900fd2657554,1,17,11
https://github.com/ayush268/Invoker/commit/c5c51f6f05a3e161121467cc5372d09f97d5c55e,1,6,6
https://github.com/ayush268/Invoker/commit/cc275ebbc9ef31a0e9d39bb00ec450ea021dfdcd,1,10,0
https://github.com/ayush268/Invoker/commit/d31aae431f9086b685fcfab88fee9ef6d0d26e4a,3,139,139
https://github.com/ayush268/Invoker/commit/d5e0d5bb53dc562244fd655ee242fec77250c4bc,1,51,1
https://github.com/benreynwar/SiLemma/commit/12446978b3ee431e3abc33a5f821267a1bec19b6,9,144,36
https://github.com/benreynwar/SiLemma/commit/18e5a2a4525232be29ff4c11d13c1a3cb27d7da0,1,44,16
